 ,Area,Min,Max,Median,Slice
691,50,13284,13460,13364,2731
692,50,13269,13491,13364,2732
693,50,13252,13490,13365,2733
694,50,13257,13472,13368,2734
695,50,13251,13464,13367,2735
696,50,13272,13511,13371,2736
697,50,13290,13518,13381,2737
698,50,13227,13443,13343,2738
699,50,13204,13441,13344,2739
700,50,13271,13449,13355,2740
701,50,13268,13467,13350,2741
702,50,13257,13436,13359,2742
703,50,13246,13465,13355,2743
704,50,13257,13501,13361,2744
705,50,13240,13442,13348,2745
706,50,13174,13418,13348,2746
707,50,13186,13452,13349,2747
708,50,13234,13412,13337,2748
709,50,13218,13453,13351,2749
710,50,13251,13471,13362,2750
711,50,13250,13488,13360,2751
712,50,13258,13503,13357,2752
713,50,13273,13521,13371,2753
714,50,13289,13503,13366,2754
715,50,13214,13494,13361,2755
716,50,13264,13504,13358,2756
717,50,13301,13526,13388,2757
718,50,13291,13524,13362,2758
719,50,13278,13485,13358,2759
720,50,13280,13508,13363,2760
721,50,13272,13506,13356,2761
722,50,13275,13502,13367,2762
723,50,13290,13511,13354,2763
724,50,13268,13506,13357,2764
725,50,13261,13463,13341,2765
726,50,13262,13499,13344,2766
727,50,13267,13497,13334,2767
728,50,13279,13556,13351,2768
729,50,13292,13542,13353,2769
730,50,13284,13520,13349,2770
731,50,13293,13523,13349,2771
732,50,13302,13532,13346,2772
733,50,13324,13553,13365,2773
734,50,13324,13572,13395,2774
735,50,13311,13553,13376,2775
736,50,13304,13556,13392,2776
737,50,13293,13480,13370,2777
738,50,13265,13471,13375,2778
739,50,13256,13471,13371,2779
740,50,13290,13519,13381,2780
741,50,13276,13490,13376,2781
742,50,13309,13555,13411,2782
743,50,13284,13514,13395,2783
744,50,13283,13507,13396,2784
745,50,13271,13538,13391,2785
746,50,13280,13543,13380,2786
747,50,13329,13546,13394,2787
748,50,13282,13538,13405,2788
749,50,13297,13539,13404,2789
750,50,13341,13590,13418,2790
751,50,13344,13590,13424,2791
752,50,13340,13585,13428,2792
753,50,13321,13553,13419,2793
754,50,13247,13512,13401,2794
755,50,13280,13526,13401,2795
756,50,13273,13485,13375,2796
757,50,13267,13513,13381,2797
758,50,13269,13515,13385,2798
759,50,13281,13525,13381,2799
760,50,13275,13530,13389,2800
761,50,13279,13528,13381,2801
762,50,13270,13489,13382,2802
763,50,13262,13491,13382,2803
764,50,13257,13496,13379,2804
765,50,13261,13485,13380,2805
766,50,13252,13491,13379,2806
767,50,13239,13487,13369,2807
768,50,13245,13488,13362,2808
769,50,13257,13496,13365,2809
770,50,13258,13498,13374,2810
771,50,13243,13480,13372,2811
772,50,13223,13462,13356,2812
773,50,13225,13470,13365,2813
774,50,13265,13533,13376,2814
775,50,13243,13534,13371,2815
776,50,13249,13533,13365,2816
777,50,13243,13524,13352,2817
778,50,13265,13518,13359,2818
779,50,13237,13467,13360,2819
780,50,13259,13480,13354,2820
781,50,13224,13487,13359,2821
782,50,13268,13532,13358,2822
783,50,13218,13460,13355,2823
784,50,13238,13467,13347,2824
785,50,13230,13458,13345,2825
786,50,13240,13471,13353,2826
787,50,13263,13541,13350,2827
788,50,13273,13516,13357,2828
789,50,13267,13525,13356,2829
790,50,13276,13531,13367,2830
791,50,13254,13521,13361,2831
792,50,13275,13525,13365,2832
793,50,13301,13519,13382,2833
794,50,13295,13516,13381,2834
795,50,13291,13501,13383,2835
796,50,13287,13516,13387,2836
