group;ID;video_file;sub_stack;Slice;Median;seqID;time;m.center;filteredsignal;filt_med;peak;phase;Intensity;Distance;Slope;type;NF;Call.duration;breathidx
2;4;386;IR_2019-06-15_0386_out.csv;2451;2061623032;IR_2019-06-15_0386_out.csv 6;817;177599828;117045044;2055567553;44;1;0.962871214;0.533333333;-1.462547717;n;n;;1
2;4;386;IR_2019-06-15_0386_out.csv;2467;196533591;IR_2019-06-15_0386_out.csv 6;8223333333;-785271386;-733344233;1970528626;60;2;1.054030241;0.3;3.943749006;n;n;;1
2;4;386;IR_2019-06-15_0386_out.csv;2476;2070738935;IR_2019-06-15_0386_out.csv 6;8253333333;268758855;117367671;2055599816;69;3;0.037971593;1.366666667;0.079799946;n;y;;1
2;4;386;IR_2019-06-15_0386_out.csv;2517;2066941775;IR_2019-06-15_0386_out.csv 6;839;230787262;328729191;2076735968;110;1;0.962289326;0.6;-1.424598744;n;y;;2
2;4;386;IR_2019-06-15_0386_out.csv;2532;2005200636;IR_2019-06-15_0386_out.csv 5;844;-39681538;-226495144;1986519276;58;1;0.791393194;0.166666667;-6.797758768;n;n;;1
2;4;386;IR_2019-06-15_0386_out.csv;2535;1970712843;IR_2019-06-15_0386_out.csv 6;845;-731502064;-985003935;1945362656;128;2;1.409328612;0.5;3.369408307;n;y;;2
2;4;386;IR_2019-06-15_0386_out.csv;2537;1926061317;IR_2019-06-15_0386_out.csv 5;8456666667;-831074732;-988963101;191027248;63;2;1.165402047;0.266666667;5.41825785;n;n;;1
2;4;386;IR_2019-06-15_0386_out.csv;2545;2042601522;IR_2019-06-15_0386_out.csv 5;8483333333;334327316;261564831;2035325273;71;3;0.266187432;1.333333333;0.046074917;n;y;;1
2;4;386;IR_2019-06-15_0386_out.csv;2550;2111645704;IR_2019-06-15_0386_out.csv 6;85;677826549;6180128;2105664329;143;3;0.037798172;1.2;-0.147218003;n;y;;2
2;4;386;IR_2019-06-15_0386_out.csv;2585;2069220265;IR_2019-06-15_0386_out.csv 5;8616666667;600514748;472746133;2056443404;111;1;1.95801307;0.566666667;-2.804624101;n;y;;2
2;4;386;IR_2019-06-15_0386_out.csv;2586;2107865887;IR_2019-06-15_0386_out.csv 6;862;640028376;46718207;2090581256;179;1;1.164441776;0.533333333;-1.94400018;n;y;;3
2;4;386;IR_2019-06-15_0386_out.csv;2602;1873418958;IR_2019-06-15_0386_out.csv 5;8673333333;-1357498322;-1181028499;189106594;128;2;1.988383875;0.366666667;5.824701468;n;n;;2
2;4;386;IR_2019-06-15_0386_out.csv;2602;1991421709;IR_2019-06-15_0386_out.csv 6;8673333333;-5244134;-633450741;1980517975;195;2;0.98278816;0.3;4.305944187;n;n;;3
2;4;386;IR_2019-06-15_0386_out.csv;2611;2089700525;IR_2019-06-15_0386_out.csv 6;8703333333;45837476;513024702;2095165519;204;3;0.053051874;1.3;-0.103171625;n;n;;3
2;4;386;IR_2019-06-15_0386_out.csv;2613;2072257345;IR_2019-06-15_0386_out.csv 5;871;630885553;619242838;2071093074;139;3;0.167167711;1.2;-0.235184612;n;n;;2
2;4;386;IR_2019-06-15_0386_out.csv;2649;2055540574;IR_2019-06-15_0386_out.csv 5;883;463717842;397936658;2048962456;175;1;1.992214475;0.666666667;-2.896433264;n;n;;3
2;4;386;IR_2019-06-15_0386_out.csv;2650;2084395338;IR_2019-06-15_0386_out.csv 6;8833333333;405322886;42007047;2085870096;243;1;1.683734483;0.633333333;-2.489569846;n;n;;4
2;4;386;IR_2019-06-15_0386_out.csv;2669;1856319127;IR_2019-06-15_0386_out.csv 5;8896666667;-1528496633;-1523435584;1856825232;195;2;1.656932871;0.3;6.668427039;n;n;;3
